raw_time,raw_time_seconds,lat,lon,alt,sat,hdop,delta_time_s,elapsed_time_s,distance_m,cum_distance_m,speed_m_s
070912.00,25752.0,49.83440166666666,36.72029166666667,1576.4,06,2.0,0.0,0.0,0.0,0.0,0.0
070913.00,25753.0,49.83521333333333,36.72021666666667,1582.7,06,1.6,1.0,1.0,90.41336489216194,90.41336489216194,90.41336489216194
070914.00,25754.0,49.836018333333335,36.720130000000005,1588.9,06,1.6,1.0,2.0,89.72746044851321,180.14082534067515,89.72746044851321
070915.00,25755.0,49.836838333333326,36.720045,1594.7,06,1.6,1.0,3.0,91.38339219837897,271.5242175390541,91.38339219837897
070916.00,25756.0,49.83766166666666,36.719955,1600.0,06,1.6,1.0,4.0,91.7777336524484,363.30195119150255,91.7777336524484
070917.00,25757.0,49.83847833333333,36.719836666666666,1605.6,06,1.6,1.0,5.0,91.20485850922893,454.5068097007315,91.20485850922893
070918.00,25758.0,49.83929166666667,36.71973,1610.9,06,1.6,1.0,6.0,90.7614690715934,545.2682787723248,90.7614690715934
070919.00,25759.0,49.840095000000005,36.719611666666665,1615.9,06,1.6,1.0,7.0,89.72877045459217,634.9970492269169,89.72877045459217
070920.00,25760.0,49.8409,36.71948666666666,1620.5,06,1.6,1.0,8.0,89.95963224898566,724.9566814759025,89.95963224898566
070921.00,25761.0,49.84172333333333,36.719368333333335,1624.8,05,2.1,1.0,9.0,91.94291544692865,816.8995969228312,91.94291544692865
070922.00,25762.0,49.84253999999999,36.719233333333335,1629.6,06,1.6,1.0,10.0,91.32374081535541,908.2233377381866,91.32374081535541
070923.00,25763.0,49.84335833333333,36.71909166666667,1634.6,06,2.0,1.0,11.0,91.55981324673685,999.7831509849235,91.55981324673685
070924.00,25764.0,49.84417666666666,36.718939999999996,1640.3,06,2.0,1.0,12.0,91.64212284710395,1091.4252738320274,91.64212284710395
070925.00,25765.0,49.84498833333334,36.71878,1646.2,06,2.0,1.0,13.0,90.97950277652635,1182.4047766085537,90.97950277652635
070926.00,25766.0,49.84580166666667,36.718621666666664,1651.6,06,2.0,1.0,14.0,91.14836434393916,1273.5531409524929,91.14836434393916
070927.00,25767.0,49.84661666666666,36.71845666666666,1657.4,06,2.0,1.0,15.0,91.39287598864198,1364.9460169411348,91.39287598864198
070928.00,25768.0,49.84743333333333,36.71827833333334,1663.0,06,2.0,1.0,16.0,91.70502826215211,1456.651045203287,91.70502826215211
070929.00,25769.0,49.84824833333334,36.71810333333334,1667.8,06,2.0,1.0,17.0,91.48840194284698,1548.139447146134,91.48840194284698
070930.00,25770.0,49.84906333333333,36.71792333333334,1672.3,06,1.6,1.0,18.0,91.53822876643623,1639.6776759125703,91.53822876643623
070931.00,25771.0,49.84987833333333,36.717740000000006,1677.5,06,2.1,1.0,19.0,91.57219881587268,1731.249874728443,91.57219881587268
070932.00,25772.0,49.85068833333333,36.71755333333333,1683.3,06,1.6,1.0,20.0,91.05680460559526,1822.3066793340383,91.05680460559526
070933.00,25773.0,49.851504999999996,36.717395,1689.3,06,1.6,1.0,21.0,91.51597316675219,1913.8226525007906,91.51597316675219
