region,category,total_revenue,orders_count
Europe,Clothes,952542479.5895,50639
South America,Furniture,946903999.8416,50205
Europe,Toys,944718067.5489,50088
North America,Clothes,944647961.4341,50072
Africa,Electronics,944072634.6258,49887
South America,Toys,943560646.0039,50142
Asia,Electronics,942956407.8692,50246
Europe,Electronics,941745223.4843,49839
Asia,Toys,941713890.3535,50083
South America,Electronics,940611194.5261,50132
Africa,Furniture,940567746.6362,50027
North America,Electronics,940001911.0963,50147
South America,Clothes,939934184.0796,50234
North America,Furniture,938751948.2891,49877
Africa,Toys,937476046.6934,50012
Asia,Furniture,937203076.4704,49666
North America,Toys,936864368.8267,49651
Africa,Clothes,935333597.6837,49804
Europe,Furniture,934226309.0752,49832
Asia,Clothes,930118322.8404,49417
